Title,File,Topics,Content Type,Source,Date Written
“Meta’s ‘Digital Companions’ Will Talk Sex With Users — Even Children” ,Link,,Article,The Wall Street Journal,4/26/2025
Former Westport Weston YMCA employee charged with possessing child sex abuse images,Link,,News,CT Post,9/20/2025
Norwalk Man Who Kidnapped New Canaan Woman To Live Out His Rape Fantasy Gets 25 Years,Link,,News,Daily Voice,2/19/2025
Former Stamford Resident Sentenced For Recording Sexual Abuse Of Minor,Link,,News,Patch,2/20/2025
"Kids are making deepfakes of each other, and laws aren’t keeping up",Link,,Article,The 19th News,7/2/2025
CT opera house director faces sex assault victim at sentencing,Link,,News,CT Insider,3/11/2025
"Sex trafficking is growing in CT, providers say. But doctors don’t always know what to look for",Link,,Article,CT Mirror,12/19/2024
Stamford man pleads guilty to sexual assaulting 15-year-old in Greenwich,Link,,News,Greenwich Time,12/18/2024
Stamford schools to pay $2.4M to settle latest sex assault lawsuit about former gym teacher,Link,,News,CT post,9/16/2024
Stamford teen sentenced to 30 days in jail for sexual assault of 12-year-old girl,Link,,News,Stamford Advocate,6/27/2024
"Discord App Exposes Children to Abuse and Graphic Content, Lawsuit Says",Link,,News,The NY Times,4/17/2025
"Stamford teacher, girls basketball coach accused of inappropriately touching 12 students",Link,,News,abc 7,4/9/2024
"College Student Allegedly Created Undressed Images Of Classmates With AI, Then Sold Them",Link,AI,News,Huffpost,6/5/2025
Investigation into hundreds files of suspected child sex abuse material leads to CT man’s arrest,Link,,News,Hartford Courant,10/20/2025
Former shoreline daycare owners facing pair of lawsuits for inappropriately touching boys,Link,,News,NBC Conneticut,8/25/2025
New Britain man sentenced to 20 years in prison for filming his sexual abuse of a child,Link,,News,CT Insider,9/18/2025
Connecticut priest sexually assaulted 8-year-old boy at gunpoint,Link,,News,CT Insider,9/3/2025
Sexual Assault numbers up in CT; advocates say we don’t have enough data to help victims,Link,,News,Eyewitness News 3,2/17/2025
"Former CT preschool teacher gets 24 years in prison for producing, sharing child sex abuse material",Link,,News,Hartford Courant,9/9/2025
"A 22-year-old Connecticut man is accused of using TikTok and online games like Fortnite to prey on children, including an 8-year-old boy",Link,,News,Daily Voice | New Canaan,6/25/2025
Ex-Norwalk middle school guidance counselor from New Canaan sexually assaulted student,Link,,News,The Hour,7/11/2024
Reward offered in hunt for Mount Vernon man accused of child sex assault in New Canaan,Link,,News,Lohud,12/27/2019
"Stamford man sentenced to 10 years for sexually assaulting, photographing 7-year-old girl",Link,,News,Stamford Advocate,8/13/2025
Norwalk Man arrested for sexually assaulting 5-year-old child,Link,,News,Eyewitness News 3,7/17/2025
School kids asking for advice on strangulation during sex - as abuse victim issues warning,Link,,Article,Sky News,5/9/2025
Norwalk high softball coach from Wilton charged with sexual assaults on school grounds,Link,,News,The Hour,5/9/2025
Darien Man Accused Of Child Sexual Exploitation,Link,,News,Patch,8/29/2025
Connecticut State Police sees record number of child cybercrime tips in July,Link,,News,NBC Conneticut,8/28/2025
Norwalk man working as Uber driver sexually assaulted Darien teen,Link,,News,Stamford Advocate,7/17/2025
CT woman took teens to Mohegan Sun before house party where they were sexually assaulted,Link,,News,Greenwich Time,"April 11, 2025"
Guilty Plea For Suspect In Norwalk Sex Trafficking Case,Link,,News,Patch,8/13/2025
CT therapist made ‘inappropriate remarks’ before sexually assaulting teen boy patient,Link,,News,Newstimes,6/17/2025
CT Man charged after allegedly demanding sexual images from 8-year-old in exchange for playing Fortnite,Link,,News,Eyewitness News 3,6/25/2025
"Online child sex abuse material, boosted by AI, is outpacing Big Tech's regulation",Link,AI,Article,Mashable,7/22/2024
"FBI opens inquiry into 764, online group that sexually exploits and encourages minors to self-harm",Link,,News,The Gaurdian,5/11/2025
Connecticut students are dating AI. The explicit content reveals the dark side of chatbots,Link,AI,News,CT Insider,5/8/2025
Danbury brothel raid leads to 5 arrests in human trafficking case involving 15-year-old girls,Link,AI,News,Newstimes,3/12/2025
Guilford man faces new charges in sexual assaults of Weston boy he met on Snapchat,Link,,News,CT Insider,3/10/2025
Former female CT school employee charged with sexual assault of 11-year-old boy may take plea,Link,,News,CT Insider,6/28/2025
A 24-year-old Hartford man is accused of inappropriately touching two minors and sending sexually explicit text messages,Link,,News,Patch,3/11/2025
Lawsuit Alleges Boy’s Sexual Abuse by Co-Founders of Connecticut Community Theatre,Link,,News,Onstage blog,9/3/2025
The Massive Costs of Failing to Prevent Child Sexual Abuse,Link,AI,Op-ed,Governing,10/15/2025
"Nearly 75% of dating app users have experienced sexual violence, staggering study reveals",Link,,News,New York Post,11/14/2024
Traveling vet arrested for child sexual abuse across US; authorities fear more victims,Link,,News,CBS 12 News,9/25/2025
"Using sextortion to groom kids for violence, pain",Link,,Report,Missingkids (NCMEC),8/28/2025
29 arrested in international case involving live online webcam child abuse,Link,,News,United States Immigration and Customs Enforcement,1/15/2014
New report finds links between porn and child-perpetrated sexual abuse,Link,,Op-ed,End Sexual Violence Against Women,5/9/2023
Childcare sexual abuse is mostly committed by men. Failing to recognise that puts children at risk,Link,,Article,The Conversation,7/2/2025
Teenagers exposed to 'horrific' content online - and this survey reveals the scale of the problem,Link,,Article,Sky News,3/19/2025
"For sexual assault survivors, justice is hard to come by",Link,,News,NBC Conneticut,11/7/2024
"Big tech not stopping online sharing of child abuse images, eSafety commissioner says",Link,,News,The Gaurdian,9/8/2025
"Children see violent pornography by accident, via social media and as young as six – new research from the Children’s Commissioner reveals",Link,,Report,UK Children's Commissioner,8/19/2025
Instagram Is Full of Openly Available AI-Generated Child Abuse Content,Link,AI,Article,Pulitzer Center,4/2/2025
America Is an Increasingly Dangerous Place for Women and Girls,Link,,Op-ed,MS Magazine,10/17/2025
Sexual choking is now so common that many young people don’t think it even requires consent. That’s a problem,Link,,Article,The Gaurdian,12/7/2022
‘Disturbing’ AI-generated child sexual abuse images found on hidden chatbot website that simulates indecent fantasies,Link,AI,Article,Internet Watch Foundation,9/22/2025
"Charity finds more than 500,000 child abuse victims",Link,,News,BBC,12/8/2024
AI-generated child sex abuse images targeted with new laws,Link,AI,News,BBC,2/2/2025
AI-generated naked child images shock Spanish town of Almendralejo,Link,AI,News,BBC,9/23/2023
Illegal trade in AI child sex abuse images exposed,Link,AI,News,BBC,6/28/2023
Federal agents combating child exploitation must also grapple with public reluctance to talk about crisis,Link,,News,CBS News,5/18/2025
"25 arrested in global operation targeting AI-generated child sexual abuse content, Europol says",Link,AI,News,CBS News,2/28/2025
AI Teddy Bear Recalled After Giving Kids Sexual Advice,Link,AI,News,Ground News,11/16/2025
Teenagers exposed to 'horrific' content online - and this survey reveals the scale of the problem,Link,,Article,Sky News,3/19/2025
Police: Danbury brothel raid leads to 5 arrests in human trafficking case involving 15-year-old girls,Link,AI,News,Newstimes,3/12/2025
"Guilford man faces new charges in sexual assaults of Weston boy he met on Snapchat, police say",Link,,News,CT Insider,3/10/2025
West Hartford School Para Charged With Sexual Assault: WHPD,Link,,News,Patch,3/11/2025
Norwalk Man Who Kidnapped New Canaan Woman To Live Out His Rape Fantasy Gets 25 Years: State,Link,,News,Daily Voice | New Canaan,2/19/2025
Former Stamford Resident Sentenced For Recording Sexual Abuse Of Minor: Feds,Link,,News,Patch,2/20/2025
Time to face the consequences’: CT opera house director faces sex assault victim at sentencing,Link,,News,CT Insider,3/11/2025
"Ex-Norwalk middle school guidance counselor sexually assaulted student, police say",Link,,News,The Hour,7/11/2025
"Sex trafficking is growing in CT, providers say. But doctors don’t always know what to look for",Link,,News,CT Mirror,12/19/2024
"Stamford man pleads guilty to sexual assaulting 15-year-old in Greenwich, faces 7 years in prison",Link,,News,Greenwich Time,12/18/2024
Lawyer: Stamford schools to pay $2.4M to settle latest sex assault lawsuit about former gym teacher,Link,,News,CTpost,9/16/2024
Stamford teen sentenced to 30 days in jail for sexual assault of 12-year-old girl,Link,,News,Stamford Advocate,6/27/2024
"For sexual assault survivors, justice is hard to come by",Link,,Article,NBC Connecticut,11/7/2024
Former Westport Weston YMCA employee charged with possessing child sex abuse images free on bond,Link,,News,CTpost,7/5/2024
"Stamford teacher, girls basketball coach accused of inappropriately touching 12 students",Link,,News,abc 7 eyewitness news,4/9/2024
Global Prevalence of Sexual Violence Against Children | A Systematic Review and Meta-Analysis,Link,,Journal,JAMA Pediatrics,1/13/2025
Intimate partner violence against adolescent girls: regional and national prevalence estimates and associated country-level factors,Link,,Journal,The Lancet,7/31/2024
Building Safe Futures: Solutions to end childhood sexual violence,Link,,Report,Reliefweb,10/23/2024
"The impact of pornography on gender-based violence, sexual health and well-being: What do we know?",Link,,Journal,ResearchGate,5/1/2015
Deserted: The U.S. Military's Sexual Assault Crisis as a Cost of War,Link,,Report,The Watson School of International and Public Affairs,8/14/2024
Over 370 million girls and women globally subjected to rape or sexual assault as children ,Link,,Report,UNICEF,10/10/2024
Promoting Wellbeing in a Digital World,Link,,Report,OSI | Family Online Safety Institute,12/9/2024
MeToo Research,Link,,"Journal, Report, News",Tulane University | Newcomb Institute,1/1/2024
Crime in Connecticut 2023 Annual Report ,Link,,Report,CT Department of Emergency Services and Public Protection,
Does No Mean No? Situational and Dispositional Factors Influence Emerging Adult Men's Intentions to Use Assault Tactics in Response to Women's Sexual Refusal During Hookups,Link,,Journal,National Library of Medicine | PubMed,8/14/2024
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
,Link,,,,
